cogn_load,painlvl,trialtyp,painrating,painrating_validity,nbackresponse,nbackresponse_validyity,numboftargetocc,correctans,trialnum,run,blocktype,subjID
2,0,2,21.7261904761905,1,4,1,4,1,7,2,10,n3etrxthr
2,0,2,13.5416666666667,1,3,1,3,1,8,2,10,n3etrxthr
2,1,4,27.6785714285714,1,3,1,3,1,9,2,10,n3etrxthr
1,1,3,62.6488095238095,1,3,1,3,1,10,2,10,n3etrxthr
1,0,1,27.6785714285714,1,5,1,5,1,11,2,10,n3etrxthr
2,1,4,50,1,5,1,5,1,12,2,10,n3etrxthr
1,1,3,38.8392857142857,1,5,1,5,1,13,2,10,n3etrxthr
2,0,2,14.2857142857143,1,2,1,2,1,14,2,10,n3etrxthr
2,1,4,24.702380952381,1,2,1,2,1,15,2,10,n3etrxthr
2,0,2,17.2619047619048,1,1,1,2,0,16,2,10,n3etrxthr
1,0,1,10.5654761904762,1,5,1,5,1,17,2,10,n3etrxthr
1,1,3,52.2321428571429,1,2,1,2,1,18,2,10,n3etrxthr
1,0,1,30.6547619047619,1,5,1,5,1,19,2,10,n3etrxthr
1,0,1,11.3095238095238,1,4,1,4,1,20,2,10,n3etrxthr
1,0,1,34.375,0,5,1,5,1,1,1,1,n3ym8h6h6
1,0,1,21.7261904761905,1,2,1,2,1,2,1,1,n3ym8h6h6
1,1,3,56.6964285714286,1,4,1,3,0,3,1,1,n3ym8h6h6
2,1,4,50,1,1,1,2,0,4,1,1,n3ym8h6h6
1,0,1,23.2142857142857,1,3,1,3,1,5,1,1,n3ym8h6h6
1,1,3,63.3928571428571,1,3,1,3,1,6,1,1,n3ym8h6h6
2,0,2,19.4940476190476,1,4,1,4,1,7,1,1,n3ym8h6h6
2,1,4,63.3928571428571,1,4,1,4,1,8,1,1,n3ym8h6h6
2,1,4,61.9047619047619,1,3,1,4,0,9,1,1,n3ym8h6h6
2,0,2,37.3511904761905,1,4,1,5,0,10,1,1,n3ym8h6h6
1,1,3,73.8095238095238,1,4,1,4,1,11,1,1,n3ym8h6h6
2,1,4,69.3452380952381,1,4,1,4,1,12,1,1,n3ym8h6h6
2,0,2,51.4880952380952,1,4,1,4,1,13,1,1,n3ym8h6h6
1,0,1,38.0952380952381,1,5,1,5,1,14,1,1,n3ym8h6h6
1,1,3,73.8095238095238,1,2,1,2,1,15,1,1,n3ym8h6h6
2,1,4,58.9285714285714,1,4,1,5,0,16,1,1,n3ym8h6h6
1,0,1,41.8154761904762,1,5,1,5,1,17,1,1,n3ym8h6h6
1,1,3,67.1130952380952,1,2,1,2,1,18,1,1,n3ym8h6h6
2,0,2,37.3511904761905,1,3,1,5,0,19,1,1,n3ym8h6h6
2,0,2,41.0714285714286,1,2,1,2,1,20,1,1,n3ym8h6h6
2,1,4,59.672619047619,1,4,1,5,0,1,2,9,n3ym8h6h6
2,1,4,56.6964285714286,1,3,1,5,0,2,2,9,n3ym8h6h6
1,0,1,23.2142857142857,1,4,1,4,1,3,2,9,n3ym8h6h6
2,1,4,67.1130952380952,1,4,1,3,0,4,2,9,n3ym8h6h6
1,1,3,63.3928571428571,1,5,1,5,1,5,2,9,n3ym8h6h6
2,0,2,34.375,1,5,1,5,1,6,2,9,n3ym8h6h6
1,0,1,23.9583333333333,1,5,1,5,1,7,2,9,n3ym8h6h6
2,1,4,62.6488095238095,1,3,1,3,1,8,2,9,n3ym8h6h6
1,1,3,62.6488095238095,1,5,1,5,1,9,2,9,n3ym8h6h6
2,0,2,48.5119047619048,1,3,1,3,1,10,2,9,n3ym8h6h6
1,0,1,35.1190476190476,1,2,1,2,1,11,2,9,n3ym8h6h6
1,1,3,72.3214285714286,1,5,1,5,1,12,2,9,n3ym8h6h6
1,1,3,59.672619047619,1,4,1,4,1,13,2,9,n3ym8h6h6
2,0,2,37.3511904761905,1,3,1,5,0,14,2,9,n3ym8h6h6
2,0,2,44.7916666666667,1,5,1,5,1,15,2,9,n3ym8h6h6
2,1,4,56.6964285714286,1,5,1,5,1,16,2,9,n3ym8h6h6
1,0,1,44.047619047619,1,4,1,4,1,17,2,9,n3ym8h6h6
1,1,3,66.3690476190476,1,2,1,2,1,18,2,9,n3ym8h6h6
2,0,2,44.7916666666667,1,3,1,4,0,19,2,9,n3ym8h6h6
1,0,1,50,1,2,1,2,1,20,2,9,n3ym8h6h6
1,1,3,89.4345238095238,1,4,1,4,1,1,1,4,n4a7bgty2
2,0,2,2.38095238095238,1,5,1,4,0,2,1,4,n4a7bgty2
1,0,1,6.8452380952381,1,2,1,2,1,3,1,4,n4a7bgty2
2,1,4,22.4702380952381,1,3,1,3,1,4,1,4,n4a7bgty2
1,1,3,14.2857142857143,1,2,1,2,1,5,1,4,n4a7bgty2
1,0,1,-0,1,3,1,3,1,6,1,4,n4a7bgty2
2,0,2,50,1,0,1,3,0,7,1,4,n4a7bgty2
2,1,4,29.1666666666667,1,4,1,5,0,8,1,4,n4a7bgty2
1,1,3,16.5178571428571,1,3,1,3,1,9,1,4,n4a7bgty2
2,0,2,4.61309523809524,1,5,1,5,1,10,1,4,n4a7bgty2
1,0,1,8.33333333333333,1,3,1,3,1,11,1,4,n4a7bgty2
1,1,3,39.5833333333333,1,5,1,5,1,12,1,4,n4a7bgty2
2,1,4,27.6785714285714,1,3,1,3,1,13,1,4,n4a7bgty2
1,0,1,-0,1,2,1,2,1,14,1,4,n4a7bgty2
2,0,2,0.892857142857143,1,2,1,2,1,15,1,4,n4a7bgty2
2,1,4,20.9821428571429,0,2,1,2,1,16,1,4,n4a7bgty2
2,1,4,20.2380952380952,1,2,1,2,1,17,1,4,n4a7bgty2
2,0,2,1.63690476190476,1,2,1,2,1,18,1,4,n4a7bgty2
1,1,3,40.327380952381,1,4,1,4,1,19,1,4,n4a7bgty2
1,0,1,-0,1,2,1,2,1,20,1,4,n4a7bgty2
2,1,4,81.9940476190476,1,3,1,4,0,1,2,8,n4a7bgty2
1,0,1,-0,1,2,1,2,1,2,2,8,n4a7bgty2
1,1,3,57.4404761904762,1,3,1,3,1,3,2,8,n4a7bgty2
1,1,3,19.4940476190476,1,3,1,3,1,4,2,8,n4a7bgty2
1,0,1,2.38095238095238,1,4,1,4,1,5,2,8,n4a7bgty2
2,1,4,9.07738095238095,1,4,1,4,1,6,2,8,n4a7bgty2
2,0,2,0.744047619047619,1,3,1,3,1,7,2,8,n4a7bgty2
2,0,2,-0,1,2,1,2,1,8,2,8,n4a7bgty2
2,1,4,24.702380952381,1,4,1,4,1,9,2,8,n4a7bgty2
1,0,1,6.8452380952381,1,5,1,5,1,10,2,8,n4a7bgty2
2,0,2,7.58928571428571,1,5,1,5,1,11,2,8,n4a7bgty2
1,1,3,35.1190476190476,1,3,1,3,1,12,2,8,n4a7bgty2
1,0,1,9.07738095238095,1,5,1,5,1,13,2,8,n4a7bgty2
2,0,2,-0,1,3,1,3,1,14,2,8,n4a7bgty2
1,1,3,19.4940476190476,1,2,1,3,0,15,2,8,n4a7bgty2
1,1,3,14.2857142857143,1,3,1,3,1,16,2,8,n4a7bgty2
1,0,1,10.5654761904762,1,2,1,2,1,17,2,8,n4a7bgty2
2,1,4,2.38095238095238,1,4,1,4,1,18,2,8,n4a7bgty2
2,1,4,7.58928571428571,1,2,1,2,1,19,2,8,n4a7bgty2
2,0,2,-0,1,5,1,5,1,20,2,8,n4a7bgty2
2,1,4,56.6964285714286,1,4,1,5,0,1,1,9,n4bdqt5v4
2,1,4,50,1,2,1,2,1,2,1,9,n4bdqt5v4
1,0,1,0.892857142857143,1,2,1,2,1,3,1,9,n4bdqt5v4
2,1,4,61.1607142857143,1,4,1,5,0,4,1,9,n4bdqt5v4
1,1,3,60.4166666666667,1,2,1,2,1,5,1,9,n4bdqt5v4
2,0,2,50,1,2,1,2,1,6,1,9,n4bdqt5v4
1,0,1,21.7261904761905,1,5,1,5,1,7,1,9,n4bdqt5v4
2,1,4,54.4642857142857,1,3,1,3,1,8,1,9,n4bdqt5v4
1,1,3,68.6011904761905,1,3,1,3,1,9,1,9,n4bdqt5v4
2,0,2,23.2142857142857,1,3,1,3,1,10,1,9,n4bdqt5v4
1,0,1,43.3035714285714,1,3,1,3,1,11,1,9,n4bdqt5v4
1,1,3,64.8809523809524,1,4,1,4,1,12,1,9,n4bdqt5v4
1,1,3,62.6488095238095,1,5,1,5,1,13,1,9,n4bdqt5v4
2,0,2,13.5416666666667,1,3,1,3,1,14,1,9,n4bdqt5v4
2,0,2,35.1190476190476,1,3,1,2,0,15,1,9,n4bdqt5v4
2,1,4,61.1607142857143,1,3,1,3,1,16,1,9,n4bdqt5v4
1,0,1,31.3988095238095,1,2,1,2,1,17,1,9,n4bdqt5v4
1,1,3,68.6011904761905,1,4,1,4,1,18,1,9,n4bdqt5v4
2,0,2,53.7202380952381,1,3,1,3,1,19,1,9,n4bdqt5v4
1,0,1,26.9345238095238,1,2,1,2,1,20,1,9,n4bdqt5v4
1,0,1,55.2083333333333,1,3,1,3,1,1,2,5,n4bdqt5v4
2,1,4,66.3690476190476,1,3,1,5,0,2,2,5,n4bdqt5v4
2,0,2,19.4940476190476,1,2,1,2,1,3,2,5,n4bdqt5v4
2,0,2,34.375,1,3,1,3,1,4,2,5,n4bdqt5v4
2,1,4,77.5297619047619,1,4,1,5,0,5,2,5,n4bdqt5v4
1,1,3,73.8095238095238,1,4,1,4,1,6,2,5,n4bdqt5v4
2,0,2,32.1428571428571,1,3,1,5,0,7,2,5,n4bdqt5v4
1,1,3,81.25,1,4,1,4,1,8,2,5,n4bdqt5v4
1,0,1,28.422619047619,1,4,1,4,1,9,2,5,n4bdqt5v4
2,1,4,55.952380952381,1,3,1,2,0,10,2,5,n4bdqt5v4
1,1,3,74.5535714285714,1,5,1,5,1,11,2,5,n4bdqt5v4
1,0,1,46.2797619047619,1,4,1,4,1,12,2,5,n4bdqt5v4
1,0,1,35.8630952380952,1,5,1,5,1,13,2,5,n4bdqt5v4
2,1,4,67.8571428571429,1,4,1,4,1,14,2,5,n4bdqt5v4
2,0,2,14.2857142857143,1,5,1,5,1,15,2,5,n4bdqt5v4
1,0,1,33.6309523809524,1,4,1,4,1,16,2,5,n4bdqt5v4
1,1,3,78.2738095238095,1,2,1,2,1,17,2,5,n4bdqt5v4
1,1,3,65.625,1,3,1,3,1,18,2,5,n4bdqt5v4
2,0,2,28.422619047619,1,5,1,5,1,19,2,5,n4bdqt5v4
2,1,4,73.8095238095238,1,4,1,4,1,20,2,5,n4bdqt5v4
