subjid,hemisphere,layer,pain_high_cogn_high_pain,pain_high_cogn_low_pain,pain_low_cogn_high_pain,pain_low_cogn_low_pain
7404,1,11,68.2412770776821,68.7058231954014,70.1323138357002,72.4395167798895
7404,1,12,65.4608481635179,65.3522299167795,66.6224071402054,69.0303845496183
7404,1,13,62.0971348038122,61.3402773199933,62.4619729910837,64.4848413988228
7404,1,14,57.8866149023376,56.4455705667548,57.2589544137772,58.7374569913561
7404,1,15,53.3851742527462,52.1765319715439,52.46432509285,53.8914727406902
7404,1,16,48.7442475742109,48.6766542759159,48.3034008235725,50.0806676647039
7404,1,17,45.3565069953152,46.39881958002,45.6964499420469,47.6036449631464
7404,1,18,43.2458795325268,45.3205799016142,44.3788697428293,45.8701213764137
7404,1,19,41.774069818496,44.6807523749427,43.717318425989,44.1828380365834
7404,1,20,41.1973141942238,44.4065949678918,43.6355840681888,42.4950465412216
7405,1,1,92.4057945376334,87.8638728007716,95.7840728917798,100.145247206728
7405,1,2,98.4994815659765,93.9541678922186,103.951021138472,102.816905200987
7405,1,3,100.034491953243,95.3345706911328,104.746617493575,99.3183606572299
7405,1,4,97.8745092017066,93.8298143457788,98.7505478087513,93.300552275471
7405,1,5,94.2511812457766,91.4135053188282,91.1997973909051,88.4313219684404
7405,1,6,90.3190110846237,89.2771936613207,85.1046191940151,85.4015982005457
7405,1,7,85.7350474155894,86.8243269887225,80.6255203910031,82.9137805508561
7405,1,8,80.4137919543209,83.4183024938868,76.766862563578,80.0973890176952
7405,1,9,75.7847830714245,79.43977783308,72.6848697207324,77.0795095642762
7405,1,10,73.0072297078551,75.9938378575059,69.5756728720704,74.8189341079871
7405,1,11,70.8118386332912,72.1221669274691,66.5715997186418,72.6342189520167
7405,1,12,68.7890009404133,68.1818555244011,63.3155634492219,69.7759581758315
7405,1,13,65.9643832417152,63.5729900754821,59.6140709199919,65.4332733357719
7405,1,14,61.3296373611729,58.3388946106525,55.4262339835611,59.3452606989818
7405,1,15,56.2798682153538,54.1569530918159,51.718332573195,53.415665638491
7405,1,16,51.7799511512789,50.7296524407583,48.0839023407806,48.2529113419345
7405,1,17,48.5841389350003,48.4407210631745,45.5922180822809,44.6985559416455
7405,1,18,46.5271275196011,46.8755525068195,44.0782990531665,42.645320536864
7405,1,19,45.1027179392356,45.5382659532332,42.5129844200913,41.4116359833837
7405,1,20,44.055854086388,44.3318192180159,41.624888291278,41.0446147200929
7408,1,1,88.8947303111971,93.4641722944429,98.3124309756949,90.6502376730566
7408,1,2,94.5741201321217,93.8627620041744,106.030319608576,100.606596175416
7408,1,3,94.2355601938557,91.2845896752589,105.38873232613,106.637447760156
7408,1,4,89.8880740982036,87.652619462878,100.560381879159,105.657401589504
7408,1,5,85.0904077345778,84.6275681502723,95.5511275424218,100.227480199758
7408,1,6,81.9587146221231,82.6598254168951,91.8306152111671,93.7220786711684
7408,1,7,79.8111345089075,80.3836963520037,89.1838798301273,87.130255758379
7408,1,8,77.6054455521046,77.3064801957014,86.2594204621315,80.3314204426167
